Khu_vuc,Thang,Gia_TB (tr/m2)
Ba Dinh,T3/21,56.7
Ba Dinh,T4/21,60.9
Ba Dinh,T5/21,59.6
Ba Dinh,T6/21,58.7
Ba Dinh,T7/21,62.7
Ba Dinh,T8/21,71.0
Ba Dinh,T9/21,68.8
Ba Dinh,T10/21,68.2
Ba Dinh,T11/21,71.7
Ba Dinh,T12/21,74.8
Ba Dinh,T1/22,70.7
Ba Dinh,T2/22,73.3
Ba Dinh,T3/22,72.0
Ba Dinh,T4/22,75.0
Ba Dinh,T5/22,77.3
Ba Dinh,T6/22,78.9
Ba Dinh,T7/22,73.6
Ba Dinh,T8/22,83.8
Ba Dinh,T9/22,81.4
Ba Dinh,T10/22,87.0
Ba Dinh,T11/22,87.4
Ba Dinh,T12/22,93.1
Ba Dinh,T1/23,89.8
Ba Dinh,T2/23,89.9
Ba Dinh,T3/23,85.6
Ba Dinh,T4/23,82.3
Ba Dinh,T5/23,79.2
Ba Dinh,T6/23,79.8
Ba Dinh,T7/23,75.4
Ba Dinh,T8/23,76.4
Ba Dinh,T9/23,81.0
Ba Dinh,T10/23,85.8
Ba Dinh,T11/23,84.0
Ba Dinh,T12/23,85.7
Ba Dinh,T1/24,91.0
Ba Dinh,T2/24,85.5
Ba Dinh,T3/24,90.1
Ba Dinh,T4/24,91.4
Ba Dinh,T5/24,86.6
Ba Dinh,T6/24,99.3
Ba Dinh,T7/24,93.8
Ba Dinh,T8/24,113.3
Ba Dinh,T9/24,114.7
Ba Dinh,T10/24,117.6
Ba Dinh,T11/24,120.9
Ba Dinh,T12/24,129.6
Ba Dinh,T1/25,126.9
Ba Dinh,T2/25,129.9
Ba Dinh,T3/25,125.0
Ba Dinh,T4/25,126.6
Ba Dinh,T5/25,125.3
Ba Dinh,T6/25,123.8
Ba Dinh,T7/25,129.8
Ba Dinh,T8/25,135.3
Ba Dinh,T9/25,152.7
Ba Dinh,T10/25,150.8
Ba Dinh,T11/25,164.5
Ba Dinh,T12/25,159.1
Ba Dinh,T1/26,165.7
Ba Dinh,T2/26,178.4
Ba Dinh,T3/26,179.6
Bac Tu Liem,T3/21,32.4
Bac Tu Liem,T4/21,33.0
Bac Tu Liem,T5/21,33.4
Bac Tu Liem,T6/21,34.0
Bac Tu Liem,T7/21,33.2
Bac Tu Liem,T8/21,33.1
Bac Tu Liem,T9/21,33.5
Bac Tu Liem,T10/21,34.4
Bac Tu Liem,T11/21,35.9
Bac Tu Liem,T12/21,36.9
Bac Tu Liem,T1/22,36.4
Bac Tu Liem,T2/22,37.3
Bac Tu Liem,T3/22,38.3
Bac Tu Liem,T4/22,39.0
Bac Tu Liem,T5/22,40.4
Bac Tu Liem,T6/22,39.8
Bac Tu Liem,T7/22,41.5
Bac Tu Liem,T8/22,42.0
Bac Tu Liem,T9/22,42.3
Bac Tu Liem,T10/22,44.7
Bac Tu Liem,T11/22,44.1
Bac Tu Liem,T12/22,44.0
Bac Tu Liem,T1/23,43.7
Bac Tu Liem,T2/23,43.8
Bac Tu Liem,T3/23,43.8
Bac Tu Liem,T4/23,44.4
Bac Tu Liem,T5/23,44.7
Bac Tu Liem,T6/23,46.8
Bac Tu Liem,T7/23,47.7
Bac Tu Liem,T8/23,48.4
Bac Tu Liem,T9/23,46.2
Bac Tu Liem,T10/23,47.1
Bac Tu Liem,T11/23,50.3
Bac Tu Liem,T12/23,50.6
Bac Tu Liem,T1/24,51.1
Bac Tu Liem,T2/24,51.4
Bac Tu Liem,T3/24,55.1
Bac Tu Liem,T4/24,58.5
Bac Tu Liem,T5/24,58.7
Bac Tu Liem,T6/24,61.1
Bac Tu Liem,T7/24,64.4
Bac Tu Liem,T8/24,66.8
Bac Tu Liem,T9/24,68.7
Bac Tu Liem,T10/24,71.2
Bac Tu Liem,T11/24,75.5
Bac Tu Liem,T12/24,76.6
Bac Tu Liem,T1/25,73.6
Bac Tu Liem,T2/25,74.1
Bac Tu Liem,T3/25,73.7
Bac Tu Liem,T4/25,76.6
Bac Tu Liem,T5/25,79.9
Bac Tu Liem,T6/25,82.9
Bac Tu Liem,T7/25,89.5
Bac Tu Liem,T8/25,90.7
Bac Tu Liem,T9/25,94.0
Bac Tu Liem,T10/25,98.4
Bac Tu Liem,T11/25,101.2
Bac Tu Liem,T12/25,104.5
Bac Tu Liem,T1/26,104.2
Bac Tu Liem,T2/26,103.6
Bac Tu Liem,T3/26,105.8
Cau Giay,T3/21,39.7
Cau Giay,T4/21,39.4
Cau Giay,T5/21,40.7
Cau Giay,T6/21,38.8
Cau Giay,T7/21,39.9
Cau Giay,T8/21,44.5
Cau Giay,T9/21,41.7
Cau Giay,T10/21,41.3
Cau Giay,T11/21,41.5
Cau Giay,T12/21,41.7
Cau Giay,T1/22,43.9
Cau Giay,T2/22,40.8
Cau Giay,T3/22,42.0
Cau Giay,T4/22,42.9
Cau Giay,T5/22,44.3
Cau Giay,T6/22,43.3
Cau Giay,T7/22,43.4
Cau Giay,T8/22,45.2
Cau Giay,T9/22,44.8
Cau Giay,T10/22,46.8
Cau Giay,T11/22,47.5
Cau Giay,T12/22,44.9
Cau Giay,T1/23,45.8
Cau Giay,T2/23,45.9
Cau Giay,T3/23,45.8
Cau Giay,T4/23,46.6
Cau Giay,T5/23,47.7
Cau Giay,T6/23,47.7
Cau Giay,T7/23,47.3
Cau Giay,T8/23,49.0
Cau Giay,T9/23,51.0
Cau Giay,T10/23,51.1
Cau Giay,T11/23,52.1
Cau Giay,T12/23,52.4
Cau Giay,T1/24,53.8
Cau Giay,T2/24,55.8
Cau Giay,T3/24,57.9
Cau Giay,T4/24,59.3
Cau Giay,T5/24,61.9
Cau Giay,T6/24,63.8
Cau Giay,T7/24,63.9
Cau Giay,T8/24,66.4
Cau Giay,T9/24,69.9
Cau Giay,T10/24,71.5
Cau Giay,T11/24,75.8
Cau Giay,T12/24,75.6
